country_code,country,year,agriculture_pct_gdp,atms_per_100k_adults,gdp_per_capita_current_usd,gdp_per_capita_ppp_constant,gini_index,govt_effectiveness_estimate,govt_revenue_pct_gdp,inflation_cpi_annual_pct,internet_users_pct,life_expectancy,mobile_subscriptions_per100,population,remittance_inflows_usd,remittance_outflows_usd,bank_branches_per_100k,official_exchange_rate_lcu_per_usd,broad_money_pct_gdp,deposit_interest_rate_pct,domestic_credit_private_pct_gdp,gdp_growth_annual_pct,gross_savings_pct_gdp,gross_savings_pct_gni,lending_interest_rate_pct,real_interest_rate_pct,export_value_index,import_value_index,risk_premium_on_lending_pct,terms_of_trade_index,current_account_pct_gdp,fdi_net_inflows_pct_gdp,govt_expenditure_pct_gdp,ppp_conversion_factor,tax_revenue_pct_gdp,trade_openness_pct_gdp
TZA,Tanzania,2011,24.9768644460885,4.7022748225107,775.392761230469,2779.70776367188,37.8,-0.660571336746216,1.0320132545457e-08,12.6909694699162,3.2,61.618,55.761,46029367.0,409563366.21142,133400000.0,2.09425751060943,1557.43333333333,24.1241978132895,6.77833333333333,12.2087988728055,7.67215543486064,21.838473776542,22.5842054427503,14.9633333333333,2.464304206777,97.9,100.1,6.6508333333333,103.3,-12.6408334198025,3.54720849735785,14.3760474348585,546.073120117188,9.79398200038448e-09,56.1661241821809
TZA,Tanzania,2012,26.5509265207861,5.18063298960855,861.969909667969,2822.4853515625,,-0.70156067609787,1.13234662123153e-08,16.0010938506338,3.95,62.286,57.4558,47374260.0,390138888.105225,162402671.058264,2.23821616303441,1571.69833333333,23.5035624756431,9.545,12.7291561087895,4.50015356010131,21.6270042473816,22.2368870246898,15.5566666666667,4.59141372169781,114.4,103.8,1.9108333333334,101.2,-9.49381708629511,4.53878496380622,14.017907635242,650.23799438398,1.04330040159572e-08,54.3689490815138
TZA,Tanzania,2013,26.7908679172376,5.62987822861157,963.05712890625,2924.86328125,,-0.712978959083557,1.13628314391013e-08,7.87072364573959,4.4,62.788,56.2075,48824128.0,381930784.183917,129703911.32575,2.4939696477991,1597.55583333333,22.0709597355983,9.96833333333333,12.4607054008369,6.78158560065316,23.0293843346767,23.1882884312468,15.8608333333333,5.64864168084363,94.3,111.8,1.6408333333333,95.8,-10.92678991973,4.57242839319348,14.8310743082401,707.468697119525,1.07219234484868e-08,48.6316275295495
TZA,Tanzania,2014,25.8025774475571,5.75113030250195,1022.74841308594,3027.56909179688,,-0.657758951187134,1.22379339062133e-08,6.13161432988012,7.0,63.364,63.2804,50351512.0,389485169.000958,98283104.93025,2.62908813828661,1653.23083333333,22.534367991041,9.855,13.2264116163133,6.73246186832483,24.5820713848218,24.4704648055713,16.2908333333333,9.65573386813088,95.8,111.3,2.7275,94.5,-9.97566998652383,2.8329281892962,16.0794441502738,760.901227042674,1.13637968874428e-08,45.3560223433065
TZA,Tanzania,2015,26.745885729563,6.11118850262873,939.127319335938,3111.44458007813,,-0.653441548347473,1.13831208443584e-08,5.58816952959298,10.0,63.928,76.2493,52020962.0,387768775.189672,103818117.805111,2.63633428346039,1991.39083333333,23.4398257876872,9.8975,14.4720447306524,6.16062877406682,26.2108352459431,25.684052401256,16.105,7.91293618587464,100.0,100.0,3.195,100.0,-5.52237840763772,3.17633492826527,14.8700779493296,806.452660291479,1.04924954944653e-08,40.7576808778314
TZA,Tanzania,2016,27.4441425717754,6.60361989484043,953.0107421875,3214.24682617188,,-0.606901288032532,1.24026980577624e-08,5.17476629301493,13.5042,64.404,74.3984,53824013.0,402531458.346674,108374755.875715,2.82109303316105,2177.08666666667,21.1123804468145,10.4958333333333,13.5595399622255,6.86711619644551,31.0076491158798,29.8534321875204,15.9583333333333,7.89628648135895,93.0,86.2,-0.2158333333334,108.8,-2.44600098634937,1.73591210997565,13.3688531461333,852.166699351825,1.13903399368077e-08,35.4204704002636
TZA,Tanzania,2017,28.7534809528128,6.9221282702445,986.674011230469,3318.28833007813,,-0.682187914848328,1.35824690287224e-08,5.31871605228931,14.4634,64.963,71.7912,55652890.0,402634721.769049,114385281.804762,2.75537914000928,2228.85666666667,20.8134417062715,11.185,12.9864334462258,6.72726996832338,31.6105360135466,30.6091757647791,17.7741666666667,14.7093732540287,85.1,76.9,6.6708333333334,103.7,-2.77322833378381,1.76011643802415,15.7386532808111,889.44873046875,1.18367190192838e-08,33.1125919853124
TZA,Tanzania,2018,27.868599477377,6.63740923095212,1023.10626220703,3392.68872070313,40.5,-0.779476463794708,1.39060325901992e-08,3.49445848856181,15.4907,65.488,75.7302,57437145.0,412910078.031612,99054685.019179,2.51998652704992,2263.78166666667,20.0113705355786,8.2,12.6320368405222,5.50267599385063,32.0092383498909,31.7107509768062,17.4141666666667,13.9859534876626,83.7,83.5,10.9883333333334,100.4,-4.05016373285835,1.70440979499363,14.5748625993064,849.043212890625,1.1695083058288e-08,32.6426099043737
TZA,Tanzania,2019,26.5943119516018,6.1899849930243,1063.32250976563,3484.63256835938,,-0.854386746883392,1.32700185532593e-08,3.46428057999021,16.5909,66.007,80.5836,59174891.0,433499813.406953,87214900.1096873,2.67036550665251,2288.20666666667,20.2755446721769,7.10416666666667,12.5397191434068,5.79999999996723,33.5584066979511,32.5830596209119,16.9708333333333,14.3628917375248,103.6,86.6,9.26416666666663,102.4,-2.19612703390998,1.99459353959393,15.3752931466323,815.964294433594,1.10191174811563e-08,33.0185892502311
TZA,Tanzania,2020,25.254901665343,5.94279050571934,1117.41528320313,3449.82153320313,,-0.73927241563797,1.33579651816343e-08,3.29029062798325,17.7693,66.771,84.0051,60972798.0,326160727.762652,86974410.9336047,2.48338184398379,2294.14615050509,19.7402519793829,6.68192455967231,12.3571479377375,1.99196460647855,37.7402368406267,36.433481801841,16.6795341089585,9.63750201577468,125.6,77.8,12.2589299422918,117.7,-2.20760897715159,1.42845965174632,14.2926515974573,779.039184570313,1.16267688573291e-08,27.9630151969884
TZA,Tanzania,2021,24.7884506158783,5.71123504788625,1159.85656738281,3493.0830078125,,-0.648341059684753,1.26305799498803e-08,3.69091958802199,19.0314,66.131,86.0163,62830412.0,558427114.020975,122238215.941079,2.45404630963862,2297.76422623792,21.2861397578073,,12.9105158488777,4.32138429480482,37.9574402142276,37.0547447499398,,,132.5,92.6,,108.6,-3.3603589034405,1.68494347865961,15.1259358340698,762.958374023438,1.08557996451701e-08,29.9151840074048
TZA,Tanzania,2022,24.2569694569552,5.61461821243063,1207.52062988281,3546.98095703125,,-0.460365831851959,1.39969905034566e-08,4.35027204269101,22.101,66.879,93.016,64711821.0,703752774.724637,162212180.211574,2.34773521988818,2303.03367612332,22.1148740432464,,15.1010796525317,4.56600576430955,36.8345093521098,35.786327323111,,,141.4,130.6,,98.2,-7.23733332088267,1.89781100360764,16.8468991314032,731.858279331754,1.17926807942271e-08,35.0034517101994
TZA,Tanzania,2023,23.6871473778631,5.56586812578789,1224.00219726563,3620.79345703125,,-0.455080926418304,1.34106369486968e-08,3.79923291384916,29.0638,66.995,105.4,66617606.0,1237899448.64826,565738869.395511,,2383.04258333333,23.3641015373226,,16.3259497826228,5.06952353203394,37.1209695585374,36.1529783356865,,,150.8,125.7,,105.7,-3.74610299995179,2.08641570952108,17.0304864142749,725.852289581589,1.14914890206943e-08,38.212034806339
TZA,Tanzania,2024,23.3180780856465,,1186.71691894531,3713.26293945313,,,1.45492973141568e-08,3.05694676312373,,,,68560157.0,1123259919.1452,681881764.075973,,2597.90041666667,,,16.7064515762639,5.5263138305945,37.9124130990718,36.3736201857253,,,,,,,-3.01833493415327,2.17843632795407,16.4222146538124,730.424331119855,1.28029080708118e-08,41.5131207208244
UGA,Uganda,2010,32.8680090776536,3.69660602813383,823.488144282,2244.60595194584,,-0.572281301021576,,3.97655288478168,4.3,59.959,39.6047,32390802.0,770789132.022296,331099938.256816,2.56725894441347,2177.55750683358,17.3447697728192,7.68727600132163,10.0482340302372,5.63761163749757,15.2433352241982,18.691305803841,20.1746301259357,13.7612146491897,73.2,83.8,15.1609790598492,98.3,-6.0351181457015,2.03900471067451,,798.810381356275,,38.2692490371291
UGA,Uganda,2011,28.9692474777902,3.9586856518782,835.620060555838,2384.4653273154,,-0.559457004070282,,16.5643496174515,4.6,60.791,50.0591,33354543.0,816231810.794777,395371393.19833,2.50179379809497,2522.80203252264,16.3928799610343,13.3435079816513,11.3584328169525,9.3916554927176,12.8420500622854,16.5879917115683,21.8333142597665,11.3734989307615,98.2,99.4,7.2247026823849,102.8,-7.48878445953833,3.2086060344385,,856.168212890625,,39.7552255606122
UGA,Uganda,2012,27.177257747558,4.32056264353741,795.222867553127,2405.09455932767,41.0,-0.5962153673172,,12.6790377224659,4.8,61.579,47.6343,34337438.0,913264190.720657,325374046.280456,2.83031510071301,2504.56307758328,17.5610483784277,16.7983045789603,11.8714748789317,3.83745560605229,14.752748193397,18.5421758791765,26.1501302489385,21.4880791448606,102.6,105.2,10.451014434742,93.5,-6.0631263873337,4.41438584859015,,1000.76456368353,,43.5021371397314
UGA,Uganda,2013,26.0303237402959,4.98791951586907,818.285427416713,2420.88808087266,,-0.611745774745941,,4.90520875694557,5.1,62.353,51.1323,35337042.0,940664379.276376,367618755.016584,3.04413901024484,2586.88956856561,17.9866884362961,12.1156726815361,11.8611514575245,3.58690582623025,20.3452615024329,22.4709901790259,23.2835727165863,19.0146300185037,108.0,104.0,13.3588876940577,90.0,-6.05719389968621,3.79031709675384,,1036.86790566601,,43.1091548734687
UGA,Uganda,2014,24.8199759353437,4.58501394388406,896.054795546394,2470.50380909598,,-0.540372133255005,,3.07570668958641,5.4,63.057,55.9572,36395539.0,887611309.440542,301772021.253701,3.14108475826605,2599.78820061067,18.6599683055423,10.8095065889367,12.2970663481137,5.10630732539796,23.5452240899414,25.1399107349882,21.5842268570126,15.6773841196638,100.9,109.8,11.3580738138419,96.7,-6.64160843323991,3.24589612959273,,1065.69998821225,,36.0144010819085
