period,source_code,source_name,destination_code,destination_name,corridor,avg_cost_pct_200usd,avg_cost_pct_500usd,avg_fx_margin_200usd,avg_fx_margin_500usd,num_providers
2016_2Q,GBR,United Kingdom,SLE,Sierra Leone,GBRSLE,8.229999999999999,6.251111111111111,3.2588888888888885,3.2588888888888885,9
2016_2Q,GBR,United Kingdom,SOM,Somalia,GBRSOM,7.465714285714285,7.418571428571428,1.6085714285714285,1.6085714285714285,7
2016_2Q,GBR,United Kingdom,SSD,South Sudan,GBRSSD,11.984285714285715,7.454285714285715,2.9257142857142857,2.9257142857142857,7
2016_2Q,GBR,United Kingdom,THA,Thailand,GBRTHA,9.979999999999999,6.54111111111111,2.7655555555555558,2.7655555555555558,9
2016_2Q,GBR,United Kingdom,TZA,Tanzania,GBRTZA,10.19,6.425,2.5275,2.5275,4
2016_2Q,GBR,United Kingdom,UGA,Uganda,GBRUGA,8.495000000000001,6.562,3.474,3.474,10
2016_2Q,GBR,United Kingdom,VNM,Vietnam,GBRVNM,7.998333333333334,5.506666666666667,2.735,2.735,6
2016_2Q,GBR,United Kingdom,ZAF,South Africa,GBRZAF,7.651428571428572,5.502142857142857,3.5171428571428573,3.4864285714285717,14
2016_2Q,GBR,United Kingdom,ZMB,Zambia,GBRZMB,9.0125,5.8725,3.2225,3.2225,4
2016_2Q,GBR,United Kingdom,ZWE,Zimbabwe,GBRZWE,7.609999999999999,5.675,3.515,3.3716666666666666,6
2016_2Q,GHA,Ghana,NGA,Nigeria,GHANGA,7.863333333333333,5.903333333333333,1.3666666666666665,1.3666666666666665,3
2016_2Q,IND,India,BGD,Bangladesh,INDBGD,3.9575,1.655,0.0,0.0,4
2016_2Q,IND,India,LKA,Sri Lanka,INDLKA,3.9575,1.655,0.0,0.0,4
2016_2Q,IND,India,NPL,Nepal,INDNPL,2.97,1.2366666666666666,0.0,0.0,6
2016_2Q,IND,India,PAK,Pakistan,INDPAK,4.2075,1.655,0.25,0.0,4
2016_2Q,ITA,Italy,BRA,Brazil,ITABRA,6.267368421052631,4.511578947368421,2.055789473684211,2.055789473684211,19
2016_2Q,ITA,Italy,CHN,China,ITACHN,8.623333333333333,4.63,0.8233333333333334,0.89625,9
2016_2Q,ITA,Italy,EGY,"Egypt, Arab Rep.",ITAEGY,7.75125,5.093125,2.37125,2.37125,16
2016_2Q,ITA,Italy,ETH,Ethiopia,ITAETH,8.592857142857143,7.342857142857143,4.154285714285714,4.154285714285714,7
2016_2Q,ITA,Italy,IND,India,ITAIND,5.025,3.1405555555555558,1.073888888888889,1.073888888888889,18
2016_2Q,ITA,Italy,LKA,Sri Lanka,ITALKA,5.092222222222222,2.69,0.6844444444444444,0.6844444444444444,18
2016_2Q,ITA,Italy,NGA,Nigeria,ITANGA,9.816666666666666,7.485833333333333,4.173333333333333,4.173333333333333,12
2016_2Q,ITA,Italy,PHL,Philippines,ITAPHL,5.616129032258065,2.75258064516129,0.5796774193548386,0.5796774193548386,31
2016_2Q,ITA,Italy,SEN,Senegal,ITASEN,5.617333333333334,3.3306666666666667,0.23600000000000002,0.23600000000000002,15
2016_2Q,ITA,Italy,UKR,Ukraine,ITAUKR,5.603076923076923,3.5476923076923077,0.6046153846153847,0.6046153846153847,13
2016_2Q,JOR,Jordan,EGY,"Egypt, Arab Rep.",JOREGY,3.5414285714285714,1.7285714285714284,0.38,0.38,7
2016_2Q,JPN,Japan,BRA,Brazil,JPNBRA,11.9925,6.1659999999999995,1.9395,1.9395,20
2016_2Q,JPN,Japan,CHN,China,JPNCHN,15.919629629629629,7.592962962962963,1.3244444444444443,1.3244444444444443,27
2016_2Q,JPN,Japan,IDN,Indonesia,JPNIDN,10.618461538461538,6.1984615384615385,2.4699999999999998,2.4699999999999998,13
