country_code,country,year,account_ownership_female_pct,account_ownership_male_pct,account_ownership_older_pct,account_ownership_outoflaborforce_pct,account_ownership_pct_15plus,account_ownership_richest60_pct,account_ownership_young_pct,account_ownership_poorest40_pct,account_at_formal_institution_pct,borrowers_at_commercial_banks_per1k,depositors_at_commercial_banks_per1k,saved_at_financial_institution_pct
ETH,Ethiopia,2017,29.0754315174008,40.9438765977029,38.3613283403909,65.0437919595396,34.827569921105,43.0952716638443,28.1642872819278,22.4122768771748,,3.4128643,11.29838,26.28883
ETH,Ethiopia,2022,38.7371742509369,54.6826000438185,46.3206029551306,79.8790382883713,46.4800688214244,54.2817158546488,46.824519705748,34.6932353746637,,,,
ETH,Ethiopia,2024,41.6159713320994,56.5265673875994,54.0440736846044,79.952447680989,48.8302767819942,52.9919326224592,37.9447401209686,42.5762685391233,,,,
GBR,United Kingdom,2011,97.651985620265,96.7070356040732,97.9548976762696,98.5157366380867,97.201284899645,97.5988966479706,91.0408255842158,96.6492005694814,,3.9618682,9.097598,43.79934
GBR,United Kingdom,2014,98.6527309133106,99.2217005433475,100.0,98.8350747694547,98.9310547976756,99.4897449370847,90.7583792575475,98.0837341556043,,1.6543925,11.64929,52.29859
GBR,United Kingdom,2017,96.0734367415868,96.6740866065722,98.7131823330391,97.771019632819,96.366318852125,97.6197512098554,83.5203366431192,94.473513929297,,0.73465975,15.88067,63.67506
GBR,United Kingdom,2021,99.9090517704621,99.6127612541258,99.735346820639,99.9475695403656,99.7632738299911,99.8928570645927,100.0,99.5684103892191,,,18.10662,60.97789
GBR,United Kingdom,2024,99.2689870562959,99.3005630735761,99.1760136035857,99.2375399538752,99.2843092777584,98.8073284000879,100.0,100.0,,,,
GHA,Ghana,2011,27.088298008763,31.845334833461,30.7486711523145,51.3962335496872,29.4253535855083,36.7446874488371,26.539920464788,18.3888704067221,340.57667,14.145989,11.809,16.13857
GHA,Ghana,2014,39.377307089462,41.6712364032671,42.3422176656552,53.552626153796,40.5057942389551,45.1520331009182,36.4241958681355,33.5196060630463,491.92966,11.269173,13.386,18.59019
GHA,Ghana,2017,53.7234203538013,61.7916792423948,61.8940290264395,67.5496148864052,57.7175264186459,63.944348483163,48.4647905443261,48.3440601491293,614.09398,21.591249,13.94477,16.19075
GHA,Ghana,2021,62.5809382619613,74.1799682116512,69.5160700866998,80.9737240388757,68.2303947936909,77.2024902144525,65.2242917388021,54.7194535686967,,,13.92242,21.06166
GHA,Ghana,2024,78.3104466801133,84.4194236475985,81.7894024325361,89.3603080489269,81.2430252454858,89.0315781082249,79.9671595325983,69.5783204095408,,,,
IDN,Indonesia,2011,19.2075357266267,19.967238368317,21.7098268676899,29.3782968204202,19.5819907600545,25.2949079645653,12.8239230536841,10.9731361366345,,2.1441268,4.370431,15.28832
IDN,Indonesia,2014,37.4640342002825,34.6179270377022,36.3241602912586,53.6979162811603,36.0589893131595,45.2677591974366,35.1662077990456,22.1340113682287,,2.0668175,4.607392,26.56305
IDN,Indonesia,2017,51.3549180701461,46.2457164450417,49.4974697474652,62.7231144779976,48.8574509277817,57.0204014229951,46.7655148324562,36.5957609692358,,2.5570048,5.249229,21.53439
IDN,Indonesia,2021,52.3045226846809,51.1815183029848,50.9529945813705,61.8941729586247,51.755324070215,54.9662961178417,54.6388887284151,46.9313820280419,,,5.274584,19.55928
IDN,Indonesia,2024,58.0308451514518,54.6388118836053,54.7250176559799,68.3276706855368,56.3278493718021,61.5891424502096,61.9926628375153,48.4188044924569,,,,
IND,India,2011,26.4905002133377,43.7370735535776,38.0260608145423,59.4694408763016,35.2318385316409,40.7300173924267,27.3008600228386,26.9714503176061,,2.670195,16.88878,11.60398
IND,India,2014,43.1326096683799,62.7633660713873,56.811978903214,64.2348079195009,53.1415500480136,59.4840292483675,43.2338984456575,43.6106768976089,,4.3458498,16.44565,14.36009
IND,India,2017,76.6396327822793,83.0089957378931,83.0843120310959,84.9415841843192,79.8753284971461,81.735424055538,71.4001548367143,77.0829503240223,,9.98,15.45114,19.60396
IND,India,2021,77.552612718915,77.5072324191018,81.3048883600903,81.3043630861527,77.5291370626274,77.0477039623167,67.501931427549,78.252760418728,,,19.43808,12.7513
IND,India,2024,89.2482328079147,88.8052472379392,91.1674455308,93.1356957731427,89.0248224502547,90.8311710525466,83.3298881784499,86.3166812876253,,,,
JPN,Japan,2011,96.8449069152696,95.9715949674956,97.94605264935,99.2899850954917,96.4220483126666,97.1652137189536,85.8536831766302,95.300561612279,,2.4474133,15.69216,51.32575
JPN,Japan,2014,97.0154546547158,96.2365380884654,98.4530491861722,99.6720600031508,96.6455822293813,96.3945632508246,81.5084360592904,96.9743001250244,,1.7464563,17.33325,60.4223
JPN,Japan,2017,98.0646741395869,98.4573562924342,99.2393102365105,99.4911622628087,98.2433920065994,98.7121248166699,86.6675942158751,97.5399309943583,,1.191848,16.95478,64.46092
JPN,Japan,2021,98.8416283825373,98.1156161827949,99.4590112921865,99.2173861008565,98.4894200399726,98.5039308545529,90.2280328147491,98.4676064509267,,,12.85732,63.82525
JPN,Japan,2024,98.723135316154,98.3131609217015,98.6555531731399,98.8620554132254,98.5235592091779,99.0854185347709,97.3861999475278,97.6785123935915,,,,
KAZ,Kazakhstan,2011,43.7328431089715,40.2280707348752,47.3758305420236,45.7494716255401,42.105092298605,47.738877302907,26.7453560037492,33.6275673263709,,20.665468,2.477125,6.740815
KAZ,Kazakhstan,2014,55.585479220051,52.002460054142,61.3847039773783,58.1873153165926,53.9074167611571,60.0188761567982,31.6073086964324,44.7278943903279,,12.392143,2.330827,8.047682
KAZ,Kazakhstan,2017,60.2865501991765,56.8952602136394,66.051223262879,64.4705442096313,58.6975351921172,65.2622438261703,36.8529530795689,48.8058881140531,,9.3097681,2.127621,13.86998
KAZ,Kazakhstan,2021,83.6291847733808,78.2886995212106,82.704823117903,84.2561446732971,81.1084645196623,80.4631689504689,73.5476907712209,82.0833315825674,,,2.950683,19.10915
KAZ,Kazakhstan,2024,85.7420594770372,88.5002867646321,91.0544065298496,91.2365697346181,87.0486447464415,89.5146092807647,68.2685953956478,83.3413414717717,,,,
KEN,Kenya,2011,39.1788059462997,45.6456419128242,43.5345764436048,62.8216943474521,42.3434543670765,57.533540263613,40.2718556058021,19.4351524972522,,4.4286704,20.42355,23.28197
KEN,Kenya,2014,71.1344795524211,78.6579035966347,78.8519523564681,85.7294196691526,74.6578329382712,82.2842975991244,66.357001579969,63.1689036916755,,5.4551197,25.37654,30.18378
