country_code,year,financial_development_overall,financial_institutions,financial_markets,d_financial_development_overall,growth_financial_development_overall,d_financial_institutions,growth_financial_institutions,d_financial_markets,growth_financial_markets
YE,2013,0.03300087728672199,0.03300087728672199,,0.005803779907969556,0.21339703377698394,0.005803779907969556,0.21339703377698394,,
Z4,1999,0.889797726386365,0.889797726386365,,,,,,,
Z4,2000,0.8629401195890759,0.8629401195890759,,-0.026857606797289102,-0.03018394630694654,-0.026857606797289102,-0.03018394630694654,,
Z4,2001,0.6018982240994967,0.6018982240994967,,-0.26104189548957923,-0.3025029078655944,-0.26104189548957923,-0.3025029078655944,,
Z4,2002,0.5886718774225085,0.5886718774225085,,-0.013226346676988188,-0.021974390598636817,-0.013226346676988188,-0.021974390598636817,,
Z4,2003,0.586061678087005,0.586061678087005,,-0.002610199335503438,-0.004434047957127096,-0.002610199335503438,-0.004434047957127096,,
Z4,2004,0.5694834332241913,0.5694834332241913,,-0.016578244862813785,-0.028287542903210672,-0.016578244862813785,-0.028287542903210672,,
Z4,2005,0.578224948882318,0.578224948882318,,0.008741515658126753,0.015349903347733562,0.008741515658126753,0.015349903347733562,,
Z4,2006,0.5830742654774401,0.5830742654774401,,0.004849316595122111,0.008386557177263887,0.004849316595122111,0.008386557177263887,,
Z4,2007,0.5854539934809544,0.5854539934809544,,0.00237972800351427,0.0040813463128330785,0.00237972800351427,0.0040813463128330785,,
Z4,2008,0.5851071173415896,0.5851071173415896,,-0.00034687613936479345,-0.0005924908587647826,-0.00034687613936479345,-0.0005924908587647826,,
Z4,2009,0.6401002748306112,0.6401002748306112,,0.05499315748902156,0.0939881875627846,0.05499315748902156,0.0939881875627846,,
Z4,2010,0.633857810088799,0.633857810088799,,-0.006242464741812115,-0.009752323170715838,-0.006242464741812115,-0.009752323170715838,,
Z4,2011,0.6314843161146024,0.6314843161146024,,-0.0023734939741966166,-0.003744521147201918,-0.0023734939741966166,-0.003744521147201918,,
Z4,2012,0.6518468219516907,0.6518468219516907,,0.02036250583708832,0.032245465671063345,0.02036250583708832,0.032245465671063345,,
Z4,2013,0.6843476630323662,0.6843476630323662,,0.03250084108067541,0.049859629572734265,0.03250084108067541,0.049859629572734265,,
Z4,2014,0.7114959602391296,0.7114959602391296,,0.027148297206763483,0.039670329385605774,0.027148297206763483,0.039670329385605774,,
Z4,2015,0.7560752674867557,0.7560752674867557,,0.04457930724762604,0.06265574189998668,0.04457930724762604,0.06265574189998668,,
Z4,2016,0.767649053714588,0.767649053714588,,0.011573786227832339,0.015307717003234744,0.011573786227832339,0.015307717003234744,,
Z4,2017,0.7714797492026626,0.7714797492026626,,0.003830695488074576,0.004990165062456864,0.003830695488074576,0.004990165062456864,,
Z4,2018,0.7883119476193513,0.7883119476193513,,0.016832198416688704,0.021818069021364517,0.016832198416688704,0.021818069021364517,,
Z4,2019,0.8180344988874662,0.8180344988874662,,0.02972255126811485,0.03770404769060631,0.02972255126811485,0.03770404769060631,,
Z4,2020,0.9026094494210234,0.9026094494210234,,0.08457495053355724,0.10338799970976753,0.08457495053355724,0.10338799970976753,,
Z4,2021,0.8982757778174455,0.8982757778174455,,-0.004333671603577893,-0.004801269925057583,-0.004333671603577893,-0.004801269925057583,,
Z4,2022,0.928534322270027,0.928534322270027,,0.03025854445258147,0.03368513901833259,0.03025854445258147,0.03368513901833259,,
Z4,2023,0.9528834280293864,0.9528834280293864,,0.024349105759359446,0.026223161788820226,0.024349105759359446,0.026223161788820226,,
Z7,2001,0.518489268765304,0.518489268765304,,,,,,,
Z7,2002,0.5212322841090917,0.5212322841090917,,0.002743015343787736,0.005290399452856143,0.002743015343787736,0.005290399452856143,,
Z7,2003,0.5284377010390364,0.5284377010390364,,0.007205416929944697,0.013823811666348496,0.007205416929944697,0.013823811666348496,,
Z7,2004,0.5388502975128755,0.5388502975128755,,0.010412596473839075,0.019704492040150345,0.010412596473839075,0.019704492040150345,,
Z7,2005,0.5584793381919099,0.5584793381919099,,0.01962904067903437,0.03642763262753013,0.01962904067903437,0.03642763262753013,,
Z7,2006,0.5796400739132406,0.5796400739132406,,0.021160735721330703,0.037889916912305255,0.021160735721330703,0.037889916912305255,,
Z7,2007,0.6071092019759818,0.6071092019759818,,0.027469128062741266,0.04738997405285117,0.027469128062741266,0.04738997405285117,,
Z7,2008,0.6185564817880908,0.6185564817880908,,0.011447279812108913,0.018855388412580387,0.011447279812108913,0.018855388412580387,,
Z7,2009,0.6379360047431857,0.6379360047431857,,0.01937952295509493,0.03133023988217465,0.01937952295509493,0.03133023988217465,,
Z7,2010,0.6150063708552428,0.6150063708552428,,-0.02292963388794289,-0.03594347037548651,-0.02292963388794289,-0.03594347037548651,,
Z7,2011,0.5916119438022438,0.5916119438022438,,-0.02339442705299899,-0.03803932473165461,-0.02339442705299899,-0.03803932473165461,,
Z7,2012,0.5775740532837832,0.5775740532837832,,-0.014037890518460605,-0.02372820675025622,-0.014037890518460605,-0.02372820675025622,,
Z7,2013,0.5616016381861235,0.5616016381861235,,-0.015972415097659676,-0.027654315506122407,-0.015972415097659676,-0.027654315506122407,,
Z7,2014,0.5481174475757467,0.5481174475757467,,-0.013484190610376867,-0.024010240878086564,-0.013484190610376867,-0.024010240878086564,,
